timestamp,red,ir
1766327389.7956254,122751,116449
1766327389.8067086,122849,116530
1766327389.8179173,122849,116530
1766327389.829017,122849,116530
1766327389.840083,122751,116467
1766327389.8512416,122575,116395
1766327389.862324,122575,116395
1766327389.8734152,122827,116472
1766327389.8845072,122406,116353
1766327389.8955905,122406,116353
1766327389.9066613,122406,116353
1766327389.917925,122859,116486
1766327389.9290884,122396,116345
1766327389.9402285,122396,116345
1766327389.9517639,122919,116528
1766327389.9628103,122417,116384
1766327389.973827,122417,116384
1766327389.9847982,122417,116384
1766327389.9957504,122927,116502
1766327390.0067163,122483,116385
1766327390.0176802,122483,116385
1766327390.0286348,122483,116385
1766327390.0395877,122917,116498
1766327390.05054,122548,116406
1766327390.0614927,122548,116406
1766327390.072446,122897,116477
1766327390.0833983,122610,116431
1766327390.094358,122610,116431
1766327390.1053102,122610,116431
1766327390.116263,122581,116350
1766327390.127215,122599,116437
1766327390.1381662,122599,116437
1766327390.149117,122354,116260
1766327390.1600683,122593,116405
1766327390.1710596,122593,116405
1766327390.1820142,122593,116405
1766327390.1930308,122350,116264
1766327390.203988,122637,116437
1766327390.2149408,122637,116437
1766327390.225905,122637,116437
1766327390.2368603,122388,116274
1766327390.2478106,122725,116458
1766327390.2587683,122725,116458
1766327390.2697217,122404,116300
1766327390.2806742,122756,116509
1766327390.2916262,122756,116509
1766327390.3025777,122756,116509
1766327390.3135304,122497,116335
1766327390.3245003,122789,116491
1766327390.3354607,122789,116491
1766327390.346413,122789,116491
1766327390.3573868,122562,116367
1766327390.3683422,122807,116507
1766327390.379321,122807,116507
1766327390.3902755,122571,116355
1766327390.4013839,122842,116507
1766327390.4124467,122842,116507
1766327390.4234169,122842,116507
1766327390.4343736,122584,116355
1766327390.445326,122880,116517
1766327390.456278,122880,116517
1766327390.4672365,122572,116309
1766327390.4781907,122863,116500
1766327390.489142,122863,116500
1766327390.5000947,122863,116500
1766327390.511052,122662,116388
1766327390.5220106,122916,116533
1766327390.5329633,122916,116533
